Date,Open
2022-08-19,4300.0
2022-08-22,4213.0
2022-08-23,4250.0
2022-08-24,4300.0
2022-08-25,4275.0
2022-08-26,4313.0
2022-08-29,4200.0
2022-08-30,4313.0
2022-08-31,4250.0
2022-09-01,4425.0
2022-09-02,4488.0
2022-09-05,4425.0
2022-09-06,4488.0
2022-09-07,4388.0
2022-09-08,4450.0
2022-09-09,4538.0
2022-09-12,4575.0
2022-09-13,4625.0
2022-09-14,4638.0
2022-09-15,4700.0
2022-09-16,4638.0
2022-09-19,4625.0
2022-09-20,4663.0
2022-09-21,4575.0
2022-09-22,4638.0
2022-09-23,4600.0
2022-09-26,4563.0
2022-09-27,4625.0
2022-09-28,4725.0
2022-09-29,4675.0
2022-09-30,4650.0
2022-10-03,4663.0
2022-10-04,4650.0
2022-10-05,4650.0
2022-10-06,4650.0
2022-10-07,4663.0
2022-10-10,4688.0
2022-10-11,4713.0
2022-10-12,4688.0
2022-10-13,4750.0
2022-10-14,4825.0
2022-10-17,4725.0
2022-10-18,4750.0
2022-10-19,4688.0
2022-10-20,4675.0
2022-10-21,5000.0
2022-10-24,5163.0
2022-10-25,5138.0
2022-10-26,5113.0
2022-10-27,5100.0
2022-10-28,5063.0
2022-10-31,5150.0
2022-11-01,5300.0
2022-11-02,5188.0
2022-11-03,4975.0
2022-11-04,5013.0
2022-11-07,5088.0
2022-11-08,5138.0
2022-11-09,5025.0
2022-11-10,5025.0
2022-11-11,5150.0
2022-11-14,5275.0
2022-11-15,5150.0
2022-11-16,5050.0
2022-11-17,4925.0
2022-11-18,4975.0
2022-11-21,5088.0
2022-11-22,5025.0
2022-11-23,5063.0
2022-11-24,5113.0
2022-11-25,5113.0
2022-11-28,5088.0
2022-11-29,5125.0
2022-11-30,5163.0
2022-12-01,5263.0
2022-12-02,5200.0
2022-12-05,5325.0
2022-12-06,5438.0
2022-12-07,5313.0
2022-12-08,5038.0
2022-12-09,4975.0
2022-12-12,4913.0
2022-12-13,4888.0
2022-12-14,5038.0
2022-12-15,4950.0
2022-12-16,4913.0
2022-12-19,5000.0
2022-12-20,5000.0
2022-12-21,5063.0
2022-12-22,5050.0
2022-12-23,4950.0
2022-12-26,4988.0
2022-12-27,5025.0
2022-12-28,5000.0
2022-12-29,4950.0
2022-12-30,5000.0
2023-01-02,4963.0
2023-01-03,4925.0
2023-01-04,5013.0
2023-01-05,5025.0
2023-01-06,4863.0
2023-01-09,4875.0
2023-01-10,4750.0
2023-01-11,4538.0
2023-01-12,4500.0
2023-01-13,4563.0
2023-01-16,4550.0
2023-01-17,4700.0
2023-01-18,4825.0
2023-01-19,4800.0
2023-01-20,4925.0
2023-01-24,4925.0
2023-01-25,4900.0
2023-01-26,4888.0
2023-01-27,4950.0
2023-01-30,5013.0
2023-01-31,5013.0
2023-02-01,4975.0
2023-02-02,4863.0
2023-02-03,4875.0
2023-02-06,4963.0
2023-02-07,4975.0
2023-02-08,5063.0
2023-02-09,5150.0
2023-02-10,5225.0
2023-02-13,5275.0
2023-02-14,5225.0
2023-02-15,5150.0
2023-02-16,5113.0
2023-02-17,5088.0
2023-02-20,5150.0
2023-02-21,5150.0
2023-02-22,5063.0
2023-02-23,4988.0
2023-02-24,5063.0
2023-02-27,5038.0
2023-02-28,5038.0
2023-03-01,5075.0
2023-03-02,5075.0
2023-03-03,5100.0
2023-03-06,5088.0
2023-03-07,5075.0
2023-03-08,5125.0
2023-03-09,5200.0
2023-03-10,5213.0
2023-03-13,5138.0
2023-03-14,5100.0
2023-03-15,5025.0
2023-03-16,5038.0
2023-03-17,4975.0
2023-03-20,5025.0
2023-03-21,5050.0
2023-03-24,5313.0
2023-03-27,5200.0
2023-03-28,5100.0
2023-03-29,5125.0
2023-03-30,5175.0
2023-03-31,5138.0
2023-04-03,5200.0
2023-04-04,5250.0
2023-04-05,5150.0
2023-04-06,5225.0
2023-04-10,5150.0
2023-04-11,5100.0
2023-04-12,5100.0
2023-04-13,5175.0
2023-04-14,5150.0
2023-04-17,5225.0
2023-04-18,5150.0
2023-04-26,5400.0
2023-04-27,5175.0
2023-04-28,5225.0
2023-05-02,5250.0
2023-05-03,5250.0
2023-05-04,5175.0
2023-05-05,5175.0
2023-05-08,5175.0
2023-05-09,5100.0
2023-05-10,5050.0
2023-05-11,5075.0
2023-05-12,5075.0
2023-05-15,5050.0
2023-05-16,5075.0
2023-05-17,4990.0
2023-05-19,5075.0
2023-05-22,5100.0
2023-05-23,5200.0
2023-05-24,5125.0
2023-05-25,5050.0
2023-05-26,5175.0
2023-05-29,5175.0
2023-05-30,5100.0
2023-05-31,5175.0
2023-06-05,5100.0
2023-06-06,5050.0
2023-06-07,5000.0
2023-06-08,5000.0
2023-06-09,5025.0
2023-06-12,5100.0
2023-06-13,5100.0
2023-06-14,5125.0
2023-06-15,5050.0
2023-06-16,5125.0
2023-06-19,5100.0
2023-06-20,5100.0
2023-06-21,5050.0
2023-06-22,5100.0
2023-06-23,5075.0
2023-06-26,5100.0
2023-06-27,5175.0
2023-07-03,5125.0
2023-07-04,5400.0
2023-07-05,5300.0
2023-07-06,5300.0
2023-07-07,5275.0
2023-07-10,5175.0
2023-07-11,5200.0
2023-07-12,5300.0
2023-07-13,5375.0
2023-07-14,5400.0
2023-07-17,5425.0
2023-07-18,5375.0
2023-07-20,5400.0
2023-07-21,5550.0
2023-07-24,5550.0
2023-07-25,5550.0
2023-07-26,5550.0
2023-07-27,5575.0
2023-07-28,5625.0
2023-07-31,5800.0
2023-08-01,5650.0
2023-08-02,5625.0
2023-08-03,5725.0
2023-08-04,5800.0
2023-08-07,5850.0
2023-08-08,5900.0
2023-08-09,5900.0
2023-08-10,5925.0
2023-08-11,5975.0
2023-08-14,5925.0
2023-08-15,5900.0
2023-08-16,5775.0
2023-08-18,5725.0
2023-08-21,5800.0
2023-08-22,5800.0
2023-08-23,5950.0
2023-08-24,5900.0
2023-08-25,5900.0
2023-08-28,5950.0
2023-08-29,6000.0
