ID Lokasi (Referensi Lokasi),Waktu dalam UTC,Suhu Udara (rata-rata) Minimum C,Suhu Udara (rata-rata) Maksimum %,Kelembapan Udara (rata-rata) Minimum %,Kelembapan Udara (rata-rata) Maksimum %,Kelembapan Udara dalam %,Suhu Udara dalam °C,Cuaca berupa kode cuaca,Arah Angin berupa CARD,Kecepatan Angin dalam km/jam
501274,20/10/2024 06:00,,,,,70,22,4,NE,2
501274,20/10/2024 09:00,,,,,83,19,4,E,2
501274,20/10/2024 12:00,16.0,22.0,70.0,97.0,97,17,5,E,2
501274,20/10/2024 15:00,,,,,97,17,5,E,2
501274,20/10/2024 18:00,,,,,92,16,45,E,2
501274,20/10/2024 21:00,,,,,92,16,45,N,2
501274,21/10/2024 00:00,,,,,80,19,1,N,2
501274,21/10/2024 03:00,,,,,80,19,1,N,2
501274,21/10/2024 06:00,,,,,68,22,3,N,2
501274,21/10/2024 09:00,,,,,68,22,60,NE,3
501274,21/10/2024 12:00,16.0,22.0,68.0,96.0,96,18,3,NE,3
501274,21/10/2024 15:00,,,,,96,18,3,NE,3
501274,21/10/2024 18:00,,,,,96,16,45,NE,3
501274,21/10/2024 21:00,,,,,96,16,45,SE,1
501274,22/10/2024 00:00,,,,,88,19,1,SE,1
501274,22/10/2024 06:00,,,,,77,21,3,SE,1
501274,22/10/2024 12:00,17.0,21.0,77.0,98.0,97,18,45,NE,3
501274,22/10/2024 18:00,,,,,98,17,45,NE,3
501274,23/10/2024 00:00,,,,,86,19,1,SE,4
501274,23/10/2024 06:00,,,,,79,21,4,SE,4
501274,23/10/2024 12:00,16.0,21.0,79.0,98.0,98,17,5,SE,2
501274,23/10/2024 18:00,,,,,98,16,45,SE,2
501274,24/10/2024 00:00,,,,,86,19,1,SE,3
501274,24/10/2024 06:00,,,,,71,22,1,SE,3
501274,24/10/2024 12:00,17.0,22.0,71.0,97.0,97,17,3,E,5
501274,24/10/2024 18:00,,,,,92,18,1,E,5
501274,25/10/2024 00:00,,,,,76,22,4,NE,2
501275,15/10/2024 00:00,,,,,82,25,4,SE,15
501275,15/10/2024 01:00,,,,,71,27,4,SE,15
501275,15/10/2024 02:00,,,,,60,29,4,SE,20
501275,15/10/2024 03:00,,,,,52,30,4,SE,20
501275,15/10/2024 04:00,,,,,42,31,4,SE,20
501275,15/10/2024 05:00,,,,,37,32,4,SE,24
501275,15/10/2024 06:00,,,,,34,32,4,SE,24
501275,15/10/2024 07:00,,,,,35,31,4,SE,24
501275,15/10/2024 08:00,,,,,38,30,4,SE,21
501275,15/10/2024 09:00,,,,,43,29,4,SE,21
501275,15/10/2024 10:00,,,,,53,27,4,SE,21
501275,15/10/2024 11:00,,,,,63,25,4,SE,10
501275,15/10/2024 12:00,19.0,32.0,34.0,84.0,68,24,4,SE,10
501275,15/10/2024 13:00,,,,,72,24,4,SE,10
501275,15/10/2024 14:00,,,,,74,23,4,S,6
501275,15/10/2024 15:00,,,,,78,22,4,S,6
501275,15/10/2024 16:00,,,,,81,21,4,S,6
501275,15/10/2024 17:00,,,,,83,21,4,SE,7
501275,15/10/2024 18:00,,,,,84,20,4,SE,7
501275,15/10/2024 19:00,,,,,83,20,3,SE,7
501275,15/10/2024 20:00,,,,,80,19,3,SE,7
501275,15/10/2024 21:00,,,,,77,19,4,SE,7
501275,15/10/2024 22:00,,,,,76,19,4,SE,7
501275,15/10/2024 23:00,,,,,69,21,4,SE,7
501275,16/10/2024 00:00,,,,,68,24,4,SE,7
501275,16/10/2024 01:00,,,,,65,27,4,SE,7
501275,16/10/2024 02:00,,,,,57,28,4,S,17
501275,16/10/2024 03:00,,,,,52,29,4,S,17
501275,16/10/2024 04:00,,,,,50,30,4,S,17
501275,16/10/2024 05:00,,,,,48,31,4,S,22
501275,16/10/2024 06:00,,,,,49,31,3,S,22
501275,16/10/2024 07:00,,,,,51,30,1,S,22
501275,16/10/2024 08:00,,,,,53,29,1,S,19
501275,16/10/2024 09:00,,,,,57,27,1,S,19
501275,16/10/2024 10:00,,,,,66,26,1,S,19
501275,16/10/2024 11:00,,,,,72,25,4,SE,14
501275,16/10/2024 12:00,19.0,31.0,48.0,94.0,74,25,3,SE,14
501275,16/10/2024 13:00,,,,,77,24,3,SE,14
501275,16/10/2024 14:00,,,,,80,23,1,SE,7
501275,16/10/2024 15:00,,,,,84,23,1,SE,7
