Date;Price;Open;High;Low;Vol;Change
06/18/2023;24198,00;24235,00;24258,00;24172,00;;-0.58%
06/16/2023;24339,00;24170,00;24510,00;24125,00;12.00K;0.75%
06/15/2023;24158,00;24210,00;24220,00;23495,00;14.22K;-0.68%
06/14/2023;24323,00;23955,00;24390,00;23950,00;13.50K;1.18%
06/13/2023;24039,00;24365,00;24720,00;23890,00;16.23K;-0.97%
06/12/2023;24275,00;24570,00;24610,00;24175,00;13.41K;-1.44%
06/09/2023;24629,00;24570,00;24835,00;24500,00;13.47K;0.25%
06/08/2023;24567,00;23735,00;24675,00;23735,00;11.16K;3.44%
06/07/2023;23749,00;23885,00;24375,00;23700,00;12.82K;-0.59%
06/06/2023;23889,00;23860,00;24080,00;23640,00;5.47K;0.14%
06/05/2023;23855,00;23870,00;23990,00;23535,00;6.15K;-0.46%
06/02/2023;23966,00;24180,00;24320,00;23885,00;3.55K;-1.00%
06/01/2023;24207,00;23830,00;24240,00;23620,00;4.43K;1.68%
05/31/2023;23806,00;23505,00;23955,00;23400,00;4.39K;1.50%
05/30/2023;23455,00;23620,00;23685,00;23260,00;3.54K;0.81%
05/29/2023;23267,00;23410,00;23503,00;23258,00;;-0.62%
05/28/2023;23413,00;23430,00;23455,00;23395,00;;-0.68%
05/26/2023;23574,00;23050,00;23670,00;23030,00;2.50K;1.95%
05/25/2023;23124,00;23400,00;23470,00;23025,00;3.57K;-1.42%
05/24/2023;23456,00;23805,00;23855,00;23355,00;3.87K;-1.59%
05/23/2023;23836,00;24005,00;24005,00;23450,00;2.69K;-0.99%
05/22/2023;24075,00;24235,00;24255,00;23975,00;1.10K;-0.82%
05/19/2023;24273,00;23895,00;24395,00;23780,00;1.73K;1.79%
05/18/2023;23845,00;24125,00;24125,00;23690,00;1.90K;-1.08%
05/17/2023;24106,00;24115,00;24255,00;23920,00;1.08K;0.02%
05/16/2023;24101,00;24470,00;24470,00;24020,00;1.60K;-1.64%
05/15/2023;24502,00;24305,00;24605,00;24275,00;1.85K;0.54%
05/12/2023;24371,00;24575,00;24610,00;24130,00;2.03K;-1.12%
05/11/2023;24648,00;25900,00;25900,00;24560,00;3.35K;-4.74%
05/10/2023;25875,00;26065,00;26420,00;25685,00;2.18K;-0.91%
05/09/2023;26113,00;26005,00;26145,00;25800,00;2.16K;0.26%
05/08/2023;26046,00;26130,00;26200,00;25985,00;2.00K;-0.37%
05/05/2023;26144,00;26530,00;26630,00;25630,00;2.20K;-1.13%
05/04/2023;26443,00;26120,00;26560,00;25970,00;2.27K;2.13%
05/03/2023;25892,00;25835,00;26110,00;25580,00;1.63K;0.24%
05/02/2023;25830,00;25450,00;25970,00;25050,00;1.52K;1.52%
05/01/2023;25444,00;25645,00;26405,00;25360,00;1.73K;0.00%
04/28/2023;25444,00;25375,00;25560,00;25235,00;1.14K;0.07%
04/27/2023;25427,00;25405,00;25605,00;24970,00;1.98K;1.42%
04/26/2023;25071,00;25265,00;25515,00;25010,00;55.55K;-0.07%
04/25/2023;25088,00;25480,00;25655,00;24735,00;50.54K;-1.71%
04/24/2023;25524,00;25375,00;25535,00;25055,00;33.50K;0.97%
04/21/2023;25280,00;25565,00;25690,00;25210,00;19.88K;-1.23%
04/20/2023;25595,00;25580,00;25805,00;25380,00;21.43K;0.02%
04/19/2023;25590,00;25495,00;25675,00;24925,00;18.98K;0.42%
04/18/2023;25484,00;25350,00;25645,00;25255,00;14.04K;0.70%
04/17/2023;25307,00;25705,00;25925,00;25145,00;12.28K;-1.47%
04/14/2023;25684,00;26195,00;26435,00;25485,00;20.89K;-1.76%
04/13/2023;26143,00;25825,00;26320,00;25740,00;17.52K;1.82%
04/12/2023;25676,00;25395,00;26035,00;25395,00;16.27K;1.07%
04/11/2023;25405,00;25210,00;25495,00;25185,00;17.40K;1.11%
04/10/2023;25126,00;25230,00;25430,00;25000,00;11.72K;-0.68%
04/06/2023;25299,00;25295,00;25385,00;24910,00;7.16K;0.20%
04/05/2023;25248,00;25375,00;25500,00;25000,00;7.86K;-0.23%
04/04/2023;25306,00;24300,00;25395,00;24175,00;9.19K;4.48%
04/03/2023;24220,00;24415,00;24525,00;23935,00;6.32K;-0.53%
03/31/2023;24350,00;24240,00;24500,00;24030,00;3.96K;0.69%
03/30/2023;24182,00;23630,00;24265,00;23560,00;3.80K;2.21%
