Date;Price;Open;High;Low;Vol;Change
02/06/2020;7700;7800;7850;7675;55.51M;0.00%
02/05/2020;7700;7600;7700;7550;65.11M;2.33%
02/04/2020;7525;7600;7675;7500;69.43M;0.33%
02/03/2020;7500;7400;7575;7350;43.64M;-0.66%
01/31/2020;7550;7675;7700;7450;78.83M;-1.31%
01/30/2020;7650;7800;7825;7600;42.70M;-1.92%
01/29/2020;7800;7825;7925;7775;54.83M;0.65%
01/28/2020;7750;7650;7825;7600;34.67M;0.32%
01/27/2020;7725;7950;7975;7700;49.14M;-2.52%
01/24/2020;7925;7825;8000;7725;77.35M;1.93%
01/23/2020;7775;7800;7825;7700;41.56M;-0.32%
01/22/2020;7800;7750;7850;7725;61.09M;1.30%
01/21/2020;7700;7750;7750;7625;19.58M;0.98%
01/20/2020;7625;7800;7800;7600;12.02M;-1.29%
01/17/2020;7725;7575;7750;7525;65.25M;2.32%
01/16/2020;7550;7600;7675;7525;72.72M;-1.31%
01/15/2020;7650;7750;7800;7600;44.90M;-1.29%
01/14/2020;7750;7800;7800;7700;52.07M;0.32%
01/13/2020;7725;7725;7750;7650;37.70M;0.00%
01/10/2020;7725;7700;7725;7650;32.12M;0.32%
01/09/2020;7700;7550;7725;7525;37.79M;2.67%
01/08/2020;7500;7550;7550;7375;52.54M;-1.32%
01/07/2020;7600;7725;7725;7575;35.45M;0.00%
01/06/2020;7600;7650;7675;7525;30.95M;-1.62%
01/03/2020;7725;7750;7825;7625;35.15M;-0.32%
01/02/2020;7750;7675;7775;7650;18.69M;0.98%
12/30/2019;7675;7725;7800;7650;39.00M;-0.97%
12/27/2019;7750;7825;7825;7725;29.09M;-0.64%
12/26/2019;7800;7775;7825;7750;70.47M;0.97%
12/23/2019;7725;7800;7800;7675;65.62M;0.32%
12/20/2019;7700;7550;7700;7550;75.24M;1.32%
12/19/2019;7600;7525;7600;7475;56.45M;1.00%
12/18/2019;7525;7350;7550;7325;61.64M;2.38%
12/17/2019;7350;7350;7400;7325;50.40M;0.00%
12/16/2019;7350;7350;7425;7350;48.02M;-0.34%
12/13/2019;7375;7400;7450;7350;63.74M;1.03%
